record_id,timestamp,order_id,product_id,product_category,quantity,unit_price,total_price,supplier_id,supplier_region,warehouse_id,warehouse_region,lead_time_days,transportation_delay_days,fulfillment_status,inventory_level,reorder_point,demand_forecast,demand_forecast_confidence,agent_decision,decision_reason,procurement_cost,transportation_cost,holding_cost,penalty_cost,carbon_emissions_kg,customer_satisfaction_score,anomalies_flag,agent_observation,agent_action_text
R-000174,2025-11-18T18:25:26.767525,b7f3290c-df93-44c0-9e42-bec11bbe2627,P-7124,apparel,7.0,40.8,285.6,S-039,Europe,W-16,Europe,9.0,4.0,shipped,211.0,32.0,31.0,0.81,do_nothing,inventory sufficient for forecast,285.6,113.36,,0.0,28.93,4.83,False,"Order b7f3290c-df93-44c0-9e42-bec11bbe2627: product P-7124 (apparel), qty 7, inventory 211, forecast 31 (conf 0.81)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000175,2025-11-18T18:35:26.767525,f812226d-734a-4c6a-8d26-32935024cd97,P-2575,apparel,1.0,45.67,45.67,S-038,North America,W-09,Europe,10.0,1.0,delivered,207.0,39.0,18.0,0.37,do_nothing,inventory sufficient for forecast,45.67,85.1,20.7,0.0,3.7,3.63,False,"Order f812226d-734a-4c6a-8d26-32935024cd97: product P-2575 (apparel), qty 1, inventory 207, forecast 18 (conf 0.37)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000176,2025-11-18T18:45:26.767525,0c73352f-5079-4f7a-8483-c2aded47f9ed,P-9257,furniture,1.0,299.31,299.31,S-011,Europe,W-15,Oceania,8.0,3.0,shipped,319.0,69.0,25.0,0.76,do_nothing,inventory sufficient for forecast,299.31,73.26,31.9,0.0,6.1,4.28,False,"Order 0c73352f-5079-4f7a-8483-c2aded47f9ed: product P-9257 (furniture), qty 1, inventory 319, forecast 25 (conf 0.76)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000177,2025-11-18T18:55:26.767525,822fb68d-bcd2-4bee-9573-e556ebf632b6,P-4445,pharma,6.0,28.14,168.84,S-027,Oceania,W-14,Europe,13.0,3.0,delivered,212.0,47.0,22.0,0.73,do_nothing,inventory sufficient for forecast,168.84,119.97,21.2,0.0,10.65,4.39,False,"Order 822fb68d-bcd2-4bee-9573-e556ebf632b6: product P-4445 (pharma), qty 6, inventory 212, forecast 22 (conf 0.73)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000178,2025-11-18T19:05:26.767525,55c1a86b-fe80-4fde-90b3-21af9ca926a7,P-1370,furniture,3.0,324.02,972.06,S-004,Asia,W-15,Europe,6.0,5.0,processing,136.0,33.0,2.0,0.72,do_nothing,inventory sufficient for forecast,972.06,92.94,13.6,0.0,16.4,2.95,False,"Order 55c1a86b-fe80-4fde-90b3-21af9ca926a7: product P-1370 (furniture), qty 3, inventory 136, forecast 2 (conf 0.72)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000179,2025-11-18T19:15:26.767525,c0c6544b-469c-4183-ada0-0e73b76bd6a3,P-9500,electronics,1.0,120.49,120.49,S-028,South America,W-16,Oceania,3.0,1.0,delivered,57.0,61.0,44.0,0.6,expedite,urgent demand forecast exceed inventory,120.49,138.0,5.7,0.0,0.67,3.71,False,"Order c0c6544b-469c-4183-ada0-0e73b76bd6a3: product P-9500 (electronics), qty 1, inventory 57, forecast 44 (conf 0.6)",Action: expedite. Reason: urgent demand forecast exceed inventory.
R-000180,2025-11-18T19:25:26.767525,67a48564-2509-40fc-8880-7404daf69bed,P-7716,apparel,1.0,30.45,30.45,S-004,Asia,W-01,Europe,5.0,0.0,cancelled,113.0,59.0,18.0,0.94,do_nothing,inventory sufficient for forecast,30.45,71.67,11.3,6.09,2.38,,False,"Order 67a48564-2509-40fc-8880-7404daf69bed: product P-7716 (apparel), qty 1, inventory 113, forecast 18 (conf 0.94)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000181,2025-11-18T19:35:26.767525,c9cf6256-99da-4b4e-b737-0990b78ca4eb,P-9072,automotive,3.0,179.18,537.54,S-039,North America,W-13,North America,8.0,1.0,shipped,291.0,51.0,0.0,0.99,do_nothing,inventory sufficient for forecast,537.54,30.54,29.1,0.0,1.35,3.5,False,"Order c9cf6256-99da-4b4e-b737-0990b78ca4eb: product P-9072 (automotive), qty 3, inventory 291, forecast 0 (conf 0.99)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000182,2025-11-18T19:45:26.767525,a22be7ca-fcc7-443b-b958-457bf958de73,P-1744,apparel,1.0,,39.35,S-007,Africa,W-09,Asia,8.0,0.0,delivered,371.0,38.0,27.0,0.33,do_nothing,inventory sufficient for forecast,39.35,25.89,37.1,0.0,3.33,4.03,False,"Order a22be7ca-fcc7-443b-b958-457bf958de73: product P-1744 (apparel), qty 1, inventory 371, forecast 27 (conf 0.33)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000183,2025-11-18T19:55:26.767525,1ba5b4fb-0263-4888-869b-7cf41adfc96c,P-4440,furniture,1.0,231.61,231.61,S-049,Africa,W-19,Asia,3.0,5.0,processing,34.0,58.0,29.0,0.1,reorder,inventory below reorder point,231.61,80.99,3.4,0.0,6.64,2.06,False,"Order 1ba5b4fb-0263-4888-869b-7cf41adfc96c: product P-4440 (furniture), qty 1, inventory 34, forecast 29 (conf 0.1)",Action: reorder. Reason: inventory below reorder point.
R-000184,2025-11-18T20:05:26.767525,5be722e9-59d3-46be-a8a0-e203ba820520,P-3882,food,1.0,6.98,6.98,S-015,Oceania,W-03,Africa,5.0,4.0,processing,331.0,65.0,5.0,0.99,do_nothing,inventory sufficient for forecast,6.98,92.29,33.1,0.0,3.76,4.82,False,"Order 5be722e9-59d3-46be-a8a0-e203ba820520: product P-3882 (food), qty 1, inventory 331, forecast 5 (conf 0.99)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000185,2025-11-18T20:15:26.767525,09eb0c49-878f-4d22-8c0d-57ecf34690c9,P-5267,food,9.0,10.15,91.35,S-022,Asia,W-08,Africa,0.0,3.0,shipped,198.0,59.0,29.0,0.67,do_nothing,inventory sufficient for forecast,91.35,117.33,19.8,0.0,45.64,4.68,False,"Order 09eb0c49-878f-4d22-8c0d-57ecf34690c9: product P-5267 (food), qty 9, inventory 198, forecast 29 (conf 0.67)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000186,2025-11-18T20:25:26.767525,9414b0a0-5dd7-42a9-bb92-493a0f812b98,P-5243,furniture,1.0,393.65,393.65,S-015,South America,W-18,Africa,10.0,0.0,shipped,140.0,37.0,36.0,0.64,do_nothing,inventory sufficient for forecast,393.65,26.93,,0.0,1.52,4.81,False,"Order 9414b0a0-5dd7-42a9-bb92-493a0f812b98: product P-5243 (furniture), qty 1, inventory 140, forecast 36 (conf 0.64)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000187,2025-11-18T20:35:26.767525,d3deee8f-5623-4f6e-ba49-50b423274fba,P-5994,apparel,3.0,46.02,138.06,S-022,South America,W-17,Oceania,6.0,2.0,cancelled,141.0,50.0,11.0,0.1,do_nothing,inventory sufficient for forecast,138.06,107.0,14.1,27.61,13.63,3.89,False,"Order d3deee8f-5623-4f6e-ba49-50b423274fba: product P-5994 (apparel), qty 3, inventory 141, forecast 11 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000188,2025-11-18T20:45:26.767525,2b50a348-15bc-475b-9f77-ca8b07bef71f,P-2259,electronics,10.0,177.9,1779.0,S-050,North America,W-11,Asia,11.0,0.0,processing,232.0,65.0,35.0,0.48,do_nothing,inventory sufficient for forecast,1779.0,56.86,23.2,0.0,3.12,4.11,False,"Order 2b50a348-15bc-475b-9f77-ca8b07bef71f: product P-2259 (electronics), qty 10, inventory 232, forecast 35 (conf 0.48)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000189,2025-11-18T20:55:26.767525,b35231b9-d181-4c54-aa15-b14d50dd729f,P-5262,apparel,3.0,40.06,120.18,S-020,North America,W-07,Europe,9.0,0.0,shipped,212.0,45.0,34.0,0.67,do_nothing,inventory sufficient for forecast,120.18,57.92,21.2,0.0,6.39,3.42,False,"Order b35231b9-d181-4c54-aa15-b14d50dd729f: product P-5262 (apparel), qty 3, inventory 212, forecast 34 (conf 0.67)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000190,2025-11-18T21:05:26.767525,75b62554-4392-4840-83d0-ae97e232b968,P-4499,pharma,2.0,21.57,43.14,S-050,South America,W-09,North America,5.0,2.0,shipped,250.0,50.0,26.0,0.61,do_nothing,inventory sufficient for forecast,43.14,74.18,25.0,0.0,7.84,4.19,False,"Order 75b62554-4392-4840-83d0-ae97e232b968: product P-4499 (pharma), qty 2, inventory 250, forecast 26 (conf 0.61)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000191,2025-11-18T21:15:26.767525,bac40668-5040-4f66-b0b0-269d36efea68,P-2818,automotive,7.0,121.1,847.7,S-027,Africa,W-06,Asia,4.0,0.0,processing,212.0,21.0,18.0,0.1,do_nothing,inventory sufficient for forecast,847.7,34.21,21.2,0.0,29.99,3.62,False,"Order bac40668-5040-4f66-b0b0-269d36efea68: product P-2818 (automotive), qty 7, inventory 212, forecast 18 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000192,2025-11-18T21:25:26.767525,6019307a-d35b-44a6-9628-a7b20c60e3ef,P-2032,furniture,1.0,295.4,295.4,S-002,Africa,W-07,Africa,11.0,4.0,delivered,236.0,46.0,33.0,0.53,do_nothing,inventory sufficient for forecast,295.4,37.47,23.6,0.0,3.04,3.85,False,"Order 6019307a-d35b-44a6-9628-a7b20c60e3ef: product P-2032 (furniture), qty 1, inventory 236, forecast 33 (conf 0.53)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000193,2025-11-18T21:35:26.767525,5cc18b81-4d84-4901-8356-647fb008a392,P-5418,pharma,1.0,22.61,22.61,S-023,Africa,W-06,North America,1.0,0.0,delivered,184.0,61.0,15.0,0.18,do_nothing,inventory sufficient for forecast,22.61,55.22,18.4,,1.71,3.87,False,"Order 5cc18b81-4d84-4901-8356-647fb008a392: product P-5418 (pharma), qty 1, inventory 184, forecast 15 (conf 0.18)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000194,2025-11-18T21:45:26.767525,846da41b-d05f-457b-870a-ded5904705ce,P-5353,pharma,2.0,30.23,60.46,S-031,Oceania,W-09,Europe,7.0,4.0,delivered,119.0,47.0,20.0,0.41,do_nothing,inventory sufficient for forecast,60.46,99.94,11.9,0.0,2.97,4.6,False,"Order 846da41b-d05f-457b-870a-ded5904705ce: product P-5353 (pharma), qty 2, inventory 119, forecast 20 (conf 0.41)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000195,2025-11-18T21:55:26.767525,86d50002-3293-44b5-81be-acd8c3a58852,P-6845,pharma,1.0,19.05,19.05,S-006,North America,W-11,South America,8.0,0.0,processing,175.0,36.0,26.0,0.48,do_nothing,inventory sufficient for forecast,19.05,39.93,17.5,0.0,3.63,4.78,False,"Order 86d50002-3293-44b5-81be-acd8c3a58852: product P-6845 (pharma), qty 1, inventory 175, forecast 26 (conf 0.48)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000196,2025-11-18T22:05:26.767525,ERR_51e603,P-1727,food,5.0,10.11,50.55,S-011,Africa,W-12,Africa,4.0,2.0,shipped,169.0,6159.379639948855,0.0,0.57,do_nothing,inventory sufficient for forecast,50.55,119.56,16.9,0.0,2.88,4.89,False,"Order 3eac6aaf-bc65-4983-90c7-18a0ec4808d2: product P-1727 (food), qty 5, inventory 169, forecast 0 (conf 0.57)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000197,2025-11-18T22:15:26.767525,e3492e7f-430a-49c7-9333-55ce33ee91c1,P-2156,apparel,3.0,40.09,120.27,S-024,Oceania,W-12,Europe,7.0,3.0,shipped,219.0,77.0,37.0,0.98,do_nothing,inventory sufficient for forecast,120.27,101.25,21.9,,8.23,3.74,False,"Order e3492e7f-430a-49c7-9333-55ce33ee91c1: product P-2156 (apparel), qty 3, inventory 219, forecast 37 (conf 0.98)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000198,2025-11-18T22:25:26.767525,29b85b1b-7cf3-43e5-abb2-7e087266cb3d,P-3024,pharma,1.0,36.95,36.95,S-036,Africa,W-16,Europe,3.0,0.0,returned,187.0,51.0,9.0,0.1,do_nothing,inventory sufficient for forecast,36.95,37.23,18.7,7.39,1.93,4.62,False,"Order 29b85b1b-7cf3-43e5-abb2-7e087266cb3d: product P-3024 (pharma), qty 1, inventory 187, forecast 9 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000199,2025-11-18T22:35:26.767525,c9f4f218-e7ba-470e-856c-76e24564afef,P-8060,automotive,3.0,131.48,394.44,S-049,Europe,W-16,Europe,5.0,1.0,shipped,159.0,47.0,20.0,0.82,do_nothing,inventory sufficient for forecast,394.44,87.73,15.9,0.0,13.37,5.0,False,"Order c9f4f218-e7ba-470e-856c-76e24564afef: product P-8060 (automotive), qty 3, inventory 159, forecast 20 (conf 0.82)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000200,2025-11-18T22:45:26.767525,625b5746-f948-4ebf-af51-a6ca3ab8a0c2,P-1664,pharma,1.0,25.32,25.32,S-035,Asia,W-14,Africa,6.0,1.0,processing,0.0,58.0,17.0,0.81,expedite,urgent demand forecast exceed inventory,25.32,75.3,0.0,0.0,3.22,4.13,False,"Order 625b5746-f948-4ebf-af51-a6ca3ab8a0c2: product P-1664 (pharma), qty 1, inventory 0, forecast 17 (conf 0.81)",Action: expedite. Reason: urgent demand forecast exceed inventory.
,2025-11-18T22:55:26.767525,ea3990f2-97a8-4c2c-96c3-ddffee28816b,P-5510,electronics,1.0,253.58,253.58,S-011,Europe,W-12,,11.0,0.0,shipped,151.0,65.0,0.0,0.35,do_nothing,inventory sufficient for forecast,253.58,1910.8184345961388,15.1,0.0,3.74,3.39,False,"Order ea3990f2-97a8-4c2c-96c3-ddffee28816b: product P-5510 (electronics), qty 1, inventory 151, forecast 0 (conf 0.35)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000202,2025-11-18T23:05:26.767525,4a1ec225-e600-47e1-ac63-b2140b535e43,P-6755,automotive,1.0,128.07,128.07,S-021,Africa,W-19,Oceania,7.0,5.0,shipped,160.0,27.0,20.0,0.1,do_nothing,inventory sufficient for forecast,128.07,159.18,16.0,0.0,3.0,5.0,False,"Order 4a1ec225-e600-47e1-ac63-b2140b535e43: product P-6755 (automotive), qty 1, inventory 160, forecast 20 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000203,2025-11-18T23:15:26.767525,eff74783-82c3-4d32-8e85-f5a205e7bfec,P-8838,electronics,1.0,238.87,238.87,S-015,Europe,W-18,Asia,7.0,0.0,delivered,220.0,55.0,12.0,0.82,do_nothing,inventory sufficient for forecast,238.87,56.54,22.0,0.0,4.18,3.91,False,"Order eff74783-82c3-4d32-8e85-f5a205e7bfec: product P-8838 (electronics), qty 1, inventory 220, forecast 12 (conf 0.82)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000204,2025-11-18T23:25:26.767525,410ed984-1a96-4926-85f4-aabce679f18d,P-6149,pharma,1.0,36.26,36.26,S-003,Asia,W-06,South America,4.0,0.0,shipped,289.0,25.0,12.0,0.67,do_nothing,inventory sufficient for forecast,36.26,55.98,28.9,0.0,4.42,4.79,False,"Order 410ed984-1a96-4926-85f4-aabce679f18d: product P-6149 (pharma), qty 1, inventory 289, forecast 12 (conf 0.67)",ERR_3706bd
R-000205,2025-11-18T23:35:26.767525,8c719467-c7bc-401f-ab76-fe4eab912a47,P-5221,pharma,2.0,32.12,64.24,S-013,Africa,W-06,Asia,3.0,3.0,returned,216.0,13.0,16.0,0.2,do_nothing,inventory sufficient for forecast,64.24,42.07,21.6,12.85,2.73,4.03,False,"Order 8c719467-c7bc-401f-ab76-fe4eab912a47: product P-5221 (pharma), qty 2, inventory 216, forecast 16 (conf 0.2)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000206,2025-11-18T23:45:26.767525,39aa2058-7984-40a5-a96c-57632b727929,P-7382,automotive,1.0,113.8,113.8,S-025,South America,W-11,Oceania,3.0,0.0,delivered,200.0,88.0,18.0,0.85,do_nothing,inventory sufficient for forecast,113.8,31.71,20.0,0.0,1.47,4.01,False,"Order 39aa2058-7984-40a5-a96c-57632b727929: product P-7382 (automotive), qty 1, inventory 200, forecast 18 (conf 0.85)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000207,2025-11-18T23:55:26.767525,31653a90-470a-4c40-927d-930791d09891,P-9972,automotive,1.0,188.62,188.62,S-010,North America,W-09,North America,3.0,2.0,pending,28.0,55.0,23.0,0.33,expedite,urgent demand forecast exceed inventory,188.62,101.12,2.8,0.0,3.01,4.17,False,"Order 31653a90-470a-4c40-927d-930791d09891: product P-9972 (automotive), qty 1, inventory 28, forecast 23 (conf 0.33)",Action: expedite. Reason: urgent demand forecast exceed inventory.
R-000208,2025-11-19T00:05:26.767525,62ecc9e0-d911-4fb6-b5d9-98a4e2f7cf34,P-5463,automotive,1.0,123.21,123.21,S-020,Africa,W-03,South America,10.0,3.0,shipped,329.0,75.0,28.0,0.17,do_nothing,inventory sufficient for forecast,123.21,118.54,32.9,0.0,5.07,4.42,False,"Order 62ecc9e0-d911-4fb6-b5d9-98a4e2f7cf34: product P-5463 (automotive), qty 1, inventory 329, forecast 28 (conf 0.17)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000209,2025-11-19T00:15:26.767525,352c01c8-8ca7-4f20-90d2-499a9bf8094f,P-5698,pharma,3.0,22.72,68.16,S-029,Africa,W-19,South America,7.0,0.0,processing,167.0,61.0,41.0,0.58,do_nothing,inventory sufficient for forecast,68.16,51.3,16.7,0.0,2.05,3.92,False,"Order 352c01c8-8ca7-4f20-90d2-499a9bf8094f: product P-5698 (pharma), qty 3, inventory 167, forecast 41 (conf 0.58)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000210,2025-11-19T00:25:26.767525,478cf20c-f113-4ce2-9205-3c0a6bc25824,P-2985,electronics,1.0,201.54,201.54,S-033,Asia,,Europe,6.0,0.0,pending,239.0,50.0,29.0,0.27,do_nothing,inventory sufficient for forecast,201.54,3.47,23.9,0.0,0.54,4.9,False,ERR_749a08,Action: do_nothing. Reason: inventory sufficient for forecast.
R-000211,2025-11-19T00:35:26.767525,6d66a042-f928-49ba-8cd7-ac9bb0c361d3,P-4652,apparel,4.0,30.51,122.04,S-032,North America,W-15,Oceania,7.0,3.0,pending,324.0,44.0,28.0,0.1,do_nothing,inventory sufficient for forecast,122.04,116.65,32.4,0.0,6.69,3.93,False,"Order 6d66a042-f928-49ba-8cd7-ac9bb0c361d3: product P-4652 (apparel), qty 4, inventory 324, forecast 28 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000212,2025-11-19T00:45:26.767525,e3bbe1eb-5e0c-447f-bf39-9e841af899cb,P-9637,automotive,3.0,133.01,399.03,S-049,South America,W-18,North America,4.0,6.0,delivered,84.0,49.0,30.0,0.35,do_nothing,inventory sufficient for forecast,399.03,70.23,8.4,0.0,12.93,2.65,False,"Order e3bbe1eb-5e0c-447f-bf39-9e841af899cb: product P-9637 (automotive), qty 3, inventory 84, forecast 30 (conf 0.35)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000213,2025-11-19T00:55:26.767525,6ade3d60-a268-4a31-8870-9b90d050e80e,P-7467,furniture,1.0,319.57,319.57,S-040,Europe,W-17,Europe,12.0,3.0,returned,37.0,23.0,21.0,0.86,do_nothing,inventory sufficient for forecast,319.57,36.68,3.7,63.91,5.31,3.29,False,"Order 6ade3d60-a268-4a31-8870-9b90d050e80e: product P-7467 (furniture), qty 1, inventory 37, forecast 21 (conf 0.86)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000214,2025-11-19T01:05:26.767525,520b9ebc-2a10-4573-9ff3-79ab9582ddd0,P-6907,furniture,1.0,195.09,195.09,S-009,South America,W-06,Africa,11.0,1.0,cancelled,144.0,41.0,7.0,0.45,do_nothing,inventory sufficient for forecast,195.09,44.0,14.4,39.02,0.94,4.63,False,"Order 520b9ebc-2a10-4573-9ff3-79ab9582ddd0: product P-6907 (furniture), qty 1, inventory 144, forecast 7 (conf 0.45)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000215,2025-11-19T01:15:26.767525,38d2b0f0-ca29-40cf-b830-2008f828d98d,ERR_4096b3,automotive,1.0,197.05,197.05,S-009,Africa,W-14,Asia,1.0,4.0,processing,282.0,38.0,0.0,0.22,do_nothing,inventory sufficient for forecast,197.05,128.91,28.2,0.0,2.98,3.92,False,"Order 38d2b0f0-ca29-40cf-b830-2008f828d98d: product P-3945 (automotive), qty 1, inventory 282, forecast 0 (conf 0.22)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000216,2025-11-19T01:25:26.767525,9c3f50f2-bc29-4bee-8790-2e877ed78010,P-2042,apparel,3.0,37.62,112.86,S-043,South America,W-12,South America,11.0,2.0,delivered,228.0,56.0,34.0,0.55,,inventory sufficient for forecast,112.86,85.93,22.8,0.0,2.34,3.7,False,"Order 9c3f50f2-bc29-4bee-8790-2e877ed78010: product P-2042 (apparel), qty 3, inventory 228, forecast 34 (conf 0.55)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000217,2025-11-19T01:35:26.767525,109b2dd7-a31a-4511-a34c-f2c5f041d3b5,P-8825,apparel,1.0,42.11,42.11,S-003,North America,W-12,North America,5.0,0.0,shipped,240.0,47.0,8.0,0.44,do_nothing,inventory sufficient for forecast,42.11,5.95,24.0,0.0,1.76,3.56,False,"Order 109b2dd7-a31a-4511-a34c-f2c5f041d3b5: product P-8825 (apparel), qty 1, inventory 240, forecast 8 (conf 0.44)",Action: do_nothing. Reason: inventory sufficient for forecast.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-000219,2025-11-19T01:55:26.767525,9de91377-fa04-4e24-a74c-f3c8903c389b,P-8877,electronics,2.0,180.82,361.64,S-045,South America,W-04,Europe,7.0,0.0,delivered,210.0,55.0,46.0,0.99,do_nothing,inventory sufficient for forecast,361.64,24.05,21.0,0.0,8.66,3.62,False,"Order 9de91377-fa04-4e24-a74c-f3c8903c389b: product P-8877 (electronics), qty 2, inventory 210, forecast 46 (conf 0.99)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000220,2025-11-19T02:05:26.767525,0234f853-efc3-474f-b973-655604bc8b6c,P-2320,automotive,1.0,121.24,121.24,S-015,Asia,W-17,South America,2.0,2.0,processing,263.0,38.0,6.0,0.97,do_nothing,inventory sufficient for forecast,121.24,81.7,26.3,0.0,5.33,4.25,False,"Order 0234f853-efc3-474f-b973-655604bc8b6c: product P-2320 (automotive), qty 1, inventory 263, forecast 6 (conf 0.97)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000221,2025-11-19T02:15:26.767525,9279511d-a3b4-4b3e-b375-a7b73efc2cf7,P-7123,food,2.0,10.63,21.26,S-042,North America,W-09,Africa,4.0,0.0,processing,276.0,36.0,20.0,0.16,do_nothing,inventory sufficient for forecast,21.26,85.23,27.6,0.0,5.37,4.34,False,"Order 9279511d-a3b4-4b3e-b375-a7b73efc2cf7: product P-7123 (food), qty 2, inventory 276, forecast 20 (conf 0.16)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000222,2025-11-19T02:25:26.767525,c2cdfb5d-8758-4fda-b65a-b20f8b0a0579,P-3489,furniture,20.0,373.0,7460.0,S-035,North America,W-17,South America,9.0,0.0,shipped,169.0,55.0,12.0,0.87,do_nothing,inventory sufficient for forecast,7460.0,81.34,16.9,0.0,99.41,3.85,False,"Order c2cdfb5d-8758-4fda-b65a-b20f8b0a0579: product P-3489 (furniture), qty 20, inventory 169, forecast 12 (conf 0.87)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000223,2025-11-19T02:35:26.767525,87e06deb-1a9b-4e23-99d2-bf5aaf9ac2a2,P-2781,pharma,1.0,31.79,31.79,S-034,Europe,W-03,Europe,9.0,0.0,delivered,192.0,34.0,23.0,0.1,do_nothing,inventory sufficient for forecast,31.79,40.88,19.2,0.0,1.01,4.86,False,"Order 87e06deb-1a9b-4e23-99d2-bf5aaf9ac2a2: product P-2781 (pharma), qty 1, inventory 192, forecast 23 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000224,2025-11-19T02:45:26.767525,746f3d86-d0a6-4336-a921-405a29e23227,P-8229,pharma,6.0,35.51,213.06,S-038,Europe,W-02,South America,9.0,2.0,processing,171.0,30.0,18.0,0.69,do_nothing,inventory sufficient for forecast,213.06,14.38,17.1,0.0,30.7,4.76,False,"Order 746f3d86-d0a6-4336-a921-405a29e23227: product P-8229 (pharma), qty 6, inventory 171, forecast 18 (conf 0.69)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000225,2025-11-19T02:55:26.767525,7fcac2c7-530f-4c3b-b839-f15ef3a57d78,P-2945,food,1.0,12.56,12.56,S-048,Africa,W-05,Oceania,3.0,0.0,processing,225.0,56.0,32.0,0.81,do_nothing,inventory sufficient for forecast,12.56,60.68,22.5,0.0,3.9,2.84,False,"Order 7fcac2c7-530f-4c3b-b839-f15ef3a57d78: product P-2945 (food), qty 1, inventory 225, forecast 32 (conf 0.81)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000226,2025-11-19T03:05:26.767525,5e61f47f-b294-4a14-8025-fc4d1886d379,P-5231,pharma,1.0,32.35,32.35,S-015,North America,W-12,Asia,7.0,0.0,shipped,229.0,29.0,2.0,0.1,do_nothing,inventory sufficient for forecast,32.35,30.21,22.9,0.0,1.98,4.11,False,"Order 5e61f47f-b294-4a14-8025-fc4d1886d379: product P-5231 (pharma), qty 1, inventory 229, forecast 2 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000227,2025-11-19T03:15:26.767525,782de690-80cd-4bd9-bd71-7b83108e0ed8,P-7662,furniture,1.0,276.7,276.7,S-034,Oceania,W-16,South America,3.0,4.0,shipped,234.0,46.0,7.0,0.11,do_nothing,inventory sufficient for forecast,276.7,55.8,23.4,0.0,4.23,3.19,False,"Order 782de690-80cd-4bd9-bd71-7b83108e0ed8: product P-7662 (furniture), qty 1, inventory 234, forecast 7 (conf 0.11)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000228,2025-11-19T03:25:26.767525,e6288790-f96d-4d47-b856-e4c92105c0be,P-5341,food,4.0,10.45,41.8,S-039,Africa,W-11,Europe,4.0,1.0,delivered,156.0,54.0,19.0,0.64,do_nothing,inventory sufficient for forecast,41.8,50.58,15.6,0.0,16.69,3.39,False,"Order e6288790-f96d-4d47-b856-e4c92105c0be: product P-5341 (food), qty 4, inventory 156, forecast 19 (conf 0.64)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000229,2025-11-19T03:35:26.767525,536101f9-f35e-448c-b00a-8a740ea27f51,P-4552,apparel,2.0,28.62,57.24,S-001,Europe,W-01,Asia,5.0,2.0,processing,196.0,60.0,32.0,0.1,do_nothing,inventory sufficient for forecast,57.24,30.78,19.6,0.0,8.17,3.55,False,"Order 536101f9-f35e-448c-b00a-8a740ea27f51: product P-4552 (apparel), qty 2, inventory 196, forecast 32 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
